starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:39 2021,1639340139,0,794,794,794
Sun Dec 12 15:15:29 2021,1639340129,0,795,795,795
Sun Dec 12 15:15:40 2021,1639340140,0,799,799,799
Sun Dec 12 15:15:41 2021,1639340141,0,801,801,801
Sun Dec 12 15:15:39 2021,1639340139,0,801,801,801
Sun Dec 12 15:15:39 2021,1639340139,0,803,803,803
Sun Dec 12 15:15:34 2021,1639340134,0,803,803,803
Sun Dec 12 15:15:28 2021,1639340128,0,804,804,804
Sun Dec 12 15:15:37 2021,1639340137,0,804,804,804
Sun Dec 12 15:15:39 2021,1639340139,0,806,806,806
Sun Dec 12 15:15:35 2021,1639340135,0,808,808,808
Sun Dec 12 15:15:40 2021,1639340140,0,809,809,809
Sun Dec 12 15:15:37 2021,1639340137,0,810,810,810
Sun Dec 12 15:15:25 2021,1639340125,0,812,812,812
Sun Dec 12 15:15:39 2021,1639340139,0,814,814,814
Sun Dec 12 15:15:40 2021,1639340140,0,817,817,817
Sun Dec 12 15:15:26 2021,1639340126,0,820,820,820
Sun Dec 12 15:15:25 2021,1639340125,0,826,826,826
Sun Dec 12 15:15:33 2021,1639340133,0,828,828,828
Sun Dec 12 15:15:35 2021,1639340135,0,828,828,828
Sun Dec 12 15:15:27 2021,1639340127,0,833,834,833
Sun Dec 12 15:15:29 2021,1639340129,0,838,838,838
Sun Dec 12 15:15:34 2021,1639340134,0,840,840,839
Sun Dec 12 15:15:34 2021,1639340134,0,840,840,840
Sun Dec 12 15:15:39 2021,1639340139,0,842,842,842
Sun Dec 12 15:15:26 2021,1639340126,0,842,843,842
Sun Dec 12 15:15:35 2021,1639340135,0,843,843,843
Sun Dec 12 15:15:40 2021,1639340140,0,843,843,843
Sun Dec 12 15:15:33 2021,1639340133,0,845,845,845
Sun Dec 12 15:15:25 2021,1639340125,0,849,849,849
Sun Dec 12 15:15:27 2021,1639340127,0,850,850,850
Sun Dec 12 15:15:35 2021,1639340135,0,855,855,848
Sun Dec 12 15:15:32 2021,1639340132,0,860,860,860
Sun Dec 12 15:15:31 2021,1639340131,0,862,862,862
Sun Dec 12 15:15:32 2021,1639340132,0,865,865,865
Sun Dec 12 15:15:32 2021,1639340132,0,865,865,865
Sun Dec 12 15:15:38 2021,1639340138,0,866,866,866
Sun Dec 12 15:15:37 2021,1639340137,0,869,869,865
Sun Dec 12 15:15:40 2021,1639340140,0,870,870,870
Sun Dec 12 15:15:36 2021,1639340136,0,871,871,871
Sun Dec 12 15:15:27 2021,1639340127,0,874,874,874
Sun Dec 12 15:15:40 2021,1639340140,0,874,874,874
Sun Dec 12 15:15:30 2021,1639340130,0,874,874,874
